gold_id,base_date,currency_code,item_name,price_krw,weight_kg,price_per_gram,price_per_ounce,price_per_kilogram,created_at,updated_at,deleted_at,deleted_yn
1,"2020-01-02",KRW,미니금 100g,57020,0.1000,570.2000,18332.3420,57020.0000,"2025-05-19 14:59:17","2025-05-19 14:59:17",NULL,N
2,"2020-01-03",KRW,미니금 100g,58030,0.1000,580.3000,18657.0643,58030.0000,"2025-05-19 14:59:17","2025-05-19 14:59:17",NULL,N
3,"2020-01-06",KRW,미니금 100g,59490,0.1000,594.9000,19126.4649,59490.0000,"2025-05-19 14:59:17","2025-05-19 14:59:17",NULL,N
4,"2020-01-07",KRW,미니금 100g,59000,0.1000,590.0000,18968.9263,59000.0000,"2025-05-19 14:59:17","2025-05-19 14:59:17",NULL,N
5,"2020-01-08",KRW,미니금 100g,60020,0.1000,600.2000,19296.8637,60020.0000,"2025-05-19 14:59:17","2025-05-19 14:59:17",NULL,N
6,"2020-01-09",KRW,미니금 100g,58050,0.1000,580.5000,18663.4945,58050.0000,"2025-05-19 14:59:17","2025-05-19 14:59:17",NULL,N
7,"2020-01-10",KRW,미니금 100g,58000,0.1000,580.0000,18647.4191,58000.0000,"2025-05-19 14:59:17","2025-05-19 14:59:17",NULL,N
8,"2020-01-13",KRW,미니금 100g,58010,0.1000,580.1000,18650.6342,58010.0000,"2025-05-19 14:59:17","2025-05-19 14:59:17",NULL,N
9,"2020-01-14",KRW,미니금 100g,57600,0.1000,576.0000,18518.8162,57600.0000,"2025-05-19 14:59:17","2025-05-19 14:59:17",NULL,N
10,"2020-01-15",KRW,미니금 100g,57990,0.1000,579.9000,18644.2040,57990.0000,"2025-05-19 14:59:17","2025-05-19 14:59:17",NULL,N
11,"2020-01-16",KRW,미니금 100g,58020,0.1000,580.2000,18653.8492,58020.0000,"2025-05-19 14:59:17","2025-05-19 14:59:17",NULL,N
12,"2020-01-17",KRW,미니금 100g,58070,0.1000,580.7000,18669.9246,58070.0000,"2025-05-19 14:59:17","2025-05-19 14:59:17",NULL,N
13,"2020-01-20",KRW,미니금 100g,58350,0.1000,583.5000,18759.9466,58350.0000,"2025-05-19 14:59:17","2025-05-19 14:59:17",NULL,N
14,"2020-01-21",KRW,미니금 100g,58850,0.1000,588.5000,18920.7002,58850.0000,"2025-05-19 14:59:17","2025-05-19 14:59:17",NULL,N
15,"2020-01-22",KRW,미니금 100g,58340,0.1000,583.4000,18756.7316,58340.0000,"2025-05-19 14:59:17","2025-05-19 14:59:17",NULL,N
16,"2020-01-23",KRW,미니금 100g,58730,0.1000,587.3000,18882.1194,58730.0000,"2025-05-19 14:59:17","2025-05-19 14:59:17",NULL,N
17,"2020-01-28",KRW,미니금 100g,59710,0.1000,597.1000,19197.1965,59710.0000,"2025-05-19 14:59:17","2025-05-19 14:59:17",NULL,N
18,"2020-01-29",KRW,미니금 100g,59200,0.1000,592.0000,19033.2278,59200.0000,"2025-05-19 14:59:17","2025-05-19 14:59:17",NULL,N
19,"2020-01-30",KRW,미니금 100g,60000,0.1000,600.0000,19290.4336,60000.0000,"2025-05-19 14:59:17","2025-05-19 14:59:17",NULL,N
20,"2020-01-31",KRW,미니금 100g,60240,0.1000,602.4000,19367.5953,60240.0000,"2025-05-19 14:59:17","2025-05-19 14:59:17",NULL,N
21,"2020-02-03",KRW,미니금 100g,60570,0.1000,605.7000,19473.6927,60570.0000,"2025-05-19 14:59:17","2025-05-19 14:59:17",NULL,N
22,"2020-02-04",KRW,미니금 100g,60160,0.1000,601.6000,19341.8747,60160.0000,"2025-05-19 14:59:17","2025-05-19 14:59:17",NULL,N
23,"2020-02-05",KRW,미니금 100g,59570,0.1000,595.7000,19152.1854,59570.0000,"2025-05-19 14:59:17","2025-05-19 14:59:17",NULL,N
24,"2020-02-06",KRW,미니금 100g,59050,0.1000,590.5000,18985.0017,59050.0000,"2025-05-19 14:59:17","2025-05-19 14:59:17",NULL,N
