gold_id,base_date,item_name,price_krw,weight_kg,price_per_gram,price_per_ounce,created_at,updated_at,deleted_at,deleted_yn
1,2023-01-02,"금 99.99_1Kg",75150,1.0000,75.1500,2416.1268,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
2,2023-01-02,"미니금 99.99_100g",74800,0.1000,748.0000,24048.7405,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
3,2023-01-03,"금 99.99_1Kg",75490,1.0000,75.4900,2427.0580,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
4,2023-01-03,"미니금 99.99_100g",75270,0.1000,752.7000,24199.8489,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
5,2023-01-04,"금 99.99_1Kg",75770,1.0000,75.7700,2436.0603,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
6,2023-01-04,"미니금 99.99_100g",75530,0.1000,755.3000,24283.4408,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
7,2023-01-05,"금 99.99_1Kg",75800,1.0000,75.8000,2437.0248,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
8,2023-01-05,"미니금 99.99_100g",75690,0.1000,756.9000,24334.8819,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
9,2023-01-06,"금 99.99_1Kg",75110,1.0000,75.1100,2414.8408,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
10,2023-01-06,"미니금 99.99_100g",75000,0.1000,750.0000,24113.0419,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
11,2023-01-09,"금 99.99_1Kg",75550,1.0000,75.5500,2428.9871,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
12,2023-01-09,"미니금 99.99_100g",75300,0.1000,753.0000,24209.4941,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
13,2023-01-10,"금 99.99_1Kg",75380,1.0000,75.3800,2423.5215,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
14,2023-01-10,"미니금 99.99_100g",75020,0.1000,750.2000,24119.4721,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
15,2023-01-11,"금 99.99_1Kg",75490,1.0000,75.4900,2427.0580,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
16,2023-01-11,"미니금 99.99_100g",75500,0.1000,755.0000,24273.7956,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
17,2023-01-12,"금 99.99_1Kg",75570,1.0000,75.5700,2429.6301,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
18,2023-01-12,"미니금 99.99_100g",75540,0.1000,755.4000,24286.6558,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
19,2023-01-13,"금 99.99_1Kg",75870,1.0000,75.8700,2439.2753,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
20,2023-01-13,"미니금 99.99_100g",75810,0.1000,758.1000,24373.4628,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
21,2023-01-16,"금 99.99_1Kg",76290,1.0000,76.2900,2452.7786,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
22,2023-01-16,"미니금 99.99_100g",76090,0.1000,760.9000,24463.4848,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
23,2023-01-17,"금 99.99_1Kg",76200,1.0000,76.2000,2449.8851,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
24,2023-01-17,"미니금 99.99_100g",76170,0.1000,761.7000,24489.2054,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
25,2023-01-18,"금 99.99_1Kg",75900,1.0000,75.9000,2440.2398,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
26,2023-01-18,"미니금 99.99_100g",75600,0.1000,756.0000,24305.9463,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
27,2023-01-19,"금 99.99_1Kg",75850,1.0000,75.8500,2438.6323,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
28,2023-01-19,"미니금 99.99_100g",75750,0.1000,757.5000,24354.1724,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
29,2023-01-20,"금 99.99_1Kg",76530,1.0000,76.5300,2460.4948,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
30,2023-01-20,"미니금 99.99_100g",76330,0.1000,763.3000,24540.6466,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
31,2023-01-25,"금 99.99_1Kg",76600,1.0000,76.6000,2462.7454,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
32,2023-01-25,"미니금 99.99_100g",76560,0.1000,765.6000,24614.5932,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
33,2023-01-26,"금 99.99_1Kg",77100,1.0000,77.1000,2478.8207,"2025-05-08 15:17:25","2025-05-08 15:17:25",NULL,N
